"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4450.8601A","ECI1.A-TC21.F_CV","13/04/2021","85.66008"
"C-4450.8601A","ECI1.A-TC21.F_CV","14/04/2021","79.31207"
"C-4450.8601A","ECI1.A-TC21.F_CV","15/04/2021","80.85345"
"C-4450.8601A","ECI1.A-TC21.F_CV","16/04/2021","80.43067"
"C-4450.8601A","ECI1.A-TC21.F_CV","17/04/2021","78.69459"
"C-4450.8601A","ECI1.A-TC21.F_CV","18/04/2021","77.87572"
"C-4450.8601A","ECI1.A-TC21.F_CV","27/04/2021","75.91661"
"C-4450.8601A","ECI1.A-TC21.F_CV","28/04/2021","84.18111"
"C-4450.8601A","ECI1.A-TC21.F_CV","29/04/2021","79.62113"
"C-4450.8601A","ECI1.A-TC21.F_CV","30/04/2021","78.74545"
"C-4450.8601A","ECI1.A-TC21.F_CV","01/05/2021","79.55032"
"C-4450.8601A","ECI1.A-TC21.F_CV","02/05/2021","78.55479"
"C-4450.8601A","ECI1.A-TC21.F_CV","03/05/2021","77.70438"
"C-4450.8601A","ECI1.A-TC21.F_CV","04/05/2021","78.17104"
"C-4450.8601A","ECI1.A-TC21.F_CV","05/05/2021","82.29241"
"C-4450.8601A","ECI1.A-TC21.F_CV","07/05/2021","82.76406"
"C-4450.8601A","ECI1.A-TC21.F_CV","08/05/2021","79.20414"
"C-4450.8601A","ECI1.A-TC21.F_CV","09/05/2021","79.64113"
"C-4450.8601A","ECI1.A-TC21.F_CV","10/05/2021","80.22853"
"C-4450.8601A","ECI1.A-TC21.F_CV","11/05/2021","83.86523"
"C-4450.8601A","ECI1.A-TC21.F_CV","12/05/2021","80.99117"
"C-4450.8601A","ECI1.A-TC21.F_CV","13/05/2021","81.26462"
"C-4450.8601A","ECI1.A-TC21.F_CV","14/05/2021","81.40778"
"C-4450.8601A","ECI1.A-TC21.F_CV","15/05/2021","79.51132"
"C-4450.8601A","ECI1.A-TC21.F_CV","16/05/2021","78.30732"
"C-4450.8601A","ECI1.A-TC21.F_CV","18/05/2021","78.7324"
"C-4450.8601A","ECI1.A-TC21.F_CV","19/05/2021","83.36979"
"C-4450.8601A","ECI1.A-TC21.F_CV","20/05/2021","80.16005"
"C-4450.8601A","ECI1.A-TC21.F_CV","21/05/2021","81.07243"
"C-4450.8601A","ECI1.A-TC21.F_CV","22/05/2021","78.81491"
"C-4450.8601A","ECI1.A-TC21.F_CV","23/05/2021","75.85393"
"C-4450.8601A","ECI1.A-TC21.F_CV","24/05/2021","84.15387"
"C-4450.8601A","ECI1.A-TC21.F_CV","25/05/2021","83.46058"
"C-4450.8601A","ECI1.A-TC21.F_CV","26/05/2021","83.00478"
"C-4450.8601A","ECI1.A-TC21.F_CV","27/05/2021","80.678"
"C-4450.8601A","ECI1.A-TC21.F_CV","28/05/2021","81.45195"
"C-4450.8601A","ECI1.A-TC21.F_CV","29/05/2021","83.05437"
"C-4450.8601A","ECI1.A-TC21.F_CV","30/05/2021","83.54715"
"C-4450.8601A","ECI1.A-TC21.F_CV","31/05/2021","84.03073"
"C-4450.8601A","ECI1.A-TC21.F_CV","01/06/2021","79.22131"
"C-4450.8601A","ECI1.A-TC21.F_CV","02/06/2021","82.30049"
"C-4450.8601A","ECI1.A-TC21.F_CV","04/06/2021","35.23511"
"C-4450.8601A","ECI1.A-TC21.F_CV","05/06/2021","77.49118"
"C-4450.8601A","ECI1.A-TC21.F_CV","06/06/2021","85.92749"
"C-4450.8601A","ECI1.A-TC21.F_CV","07/06/2021","82.93284"
"C-4450.8601A","ECI1.A-TC21.F_CV","08/06/2021","83.7518"
"C-4450.8601A","ECI1.A-TC21.F_CV","09/06/2021","84.1315"
"C-4450.8601A","ECI1.A-TC21.F_CV","10/06/2021","85.2208"
"C-4450.8601A","ECI1.A-TC21.F_CV","11/06/2021","85.56776"
"C-4450.8601A","ECI1.A-TC21.F_CV","12/06/2021","85.26775"
"C-4450.8601A","ECI1.A-TC21.F_CV","13/06/2021","85.22717"
"C-4450.8601A","ECI1.A-TC21.F_CV","14/06/2021","85.02798"
"C-4450.8601A","ECI1.A-TC21.F_CV","15/06/2021","83.69247"
"C-4450.8601A","ECI1.A-TC21.F_CV","16/06/2021","84.97969"
"C-4450.8601A","ECI1.A-TC21.F_CV","17/06/2021","85.2135"
"C-4450.8601A","ECI1.A-TC21.F_CV","18/06/2021","85.44665"
"C-4450.8601A","ECI1.A-TC21.F_CV","19/06/2021","83.13992"
"C-4450.8601A","ECI1.A-TC21.F_CV","20/06/2021","82.17628"
"C-4450.8601A","ECI1.A-TC21.F_CV","21/06/2021","82.47858"
"C-4450.8601A","ECI1.A-TC21.F_CV","22/06/2021","81.72446"
"C-4450.8601A","ECI1.A-TC21.F_CV","23/06/2021","80.84799"
"C-4450.8601A","ECI1.A-TC21.F_CV","24/06/2021","80.82901"
"C-4450.8601A","ECI1.A-TC21.F_CV","25/06/2021","80.841"
"C-4450.8601A","ECI1.A-TC21.F_CV","26/06/2021","80.823"
"C-4450.8601A","ECI1.A-TC21.F_CV","27/06/2021","81.04754"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/01/2021","78.99098"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/01/2021","81.23045"
"C-4450.8601A","ECI1.A-TC22.F_CV","06/01/2021","81.21888"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/01/2021","36.97463"
"C-4450.8601A","ECI1.A-TC22.F_CV","31/01/2021","73.33313"
"C-4450.8601A","ECI1.A-TC22.F_CV","01/02/2021","72.94493"
"C-4450.8601A","ECI1.A-TC22.F_CV","02/02/2021","73.18293"
"C-4450.8601A","ECI1.A-TC22.F_CV","03/02/2021","74.98464"
"C-4450.8601A","ECI1.A-TC22.F_CV","04/02/2021","81.36016"
"C-4450.8601A","ECI1.A-TC22.F_CV","05/02/2021","79.17317"
"C-4450.8601A","ECI1.A-TC22.F_CV","06/02/2021","77.55418"
"C-4450.8601A","ECI1.A-TC22.F_CV","07/02/2021","72.85838"
"C-4450.8601A","ECI1.A-TC22.F_CV","08/02/2021","75.53395"
"C-4450.8601A","ECI1.A-TC22.F_CV","09/02/2021","71.98944"
"C-4450.8601A","ECI1.A-TC22.F_CV","10/02/2021","74.98244"
"C-4450.8601A","ECI1.A-TC22.F_CV","11/02/2021","77.35342"
"C-4450.8601A","ECI1.A-TC22.F_CV","12/02/2021","79.73834"
"C-4450.8601A","ECI1.A-TC22.F_CV","13/02/2021","76.61927"
