"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","04/01/2021","72.9881"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","05/01/2021","73.72799"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","06/01/2021","74.43666"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","07/01/2021","74.49206"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","08/01/2021","75.01392"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","09/01/2021","73.50743"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","10/01/2021","74.06717"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","11/01/2021","74.218"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","12/01/2021","74.70793"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","13/01/2021","74.95204"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","14/01/2021","74.29232"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","15/01/2021","73.95905"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","16/01/2021","74.85152"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","17/01/2021","75.07576"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","18/01/2021","75.65107"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","19/01/2021","74.94718"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","20/01/2021","74.54972"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","21/01/2021","74.44829"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","22/01/2021","73.95333"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","23/01/2021","73.90545"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","24/01/2021","73.78146"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","25/01/2021","74.33443"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","27/01/2021","75.38116"
"GE-4150.01001B","ECE1.G2-TI-MANCD.F_CV","28/01/2021","75.99639"
