"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/03/2021","503.20232"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/03/2021","634.88909"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/03/2021","642.89185"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/03/2021","647.22298"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/03/2021","631.53314"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/03/2021","641.0685"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/03/2021","635.7955"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/03/2021","642.71083"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/03/2021","644.98243"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/03/2021","643.98819"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/03/2021","645.96224"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/03/2021","637.51287"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/03/2021","644.77014"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/03/2021","649.48524"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/03/2021","649.58884"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/03/2021","643.90807"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/03/2021","641.44752"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","29/03/2021","642.83985"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","30/03/2021","643.16755"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","31/03/2021","643.54019"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/04/2021","565.12989"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/04/2021","636.81804"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/04/2021","639.68065"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/04/2021","635.94996"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/04/2021","639.56083"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/04/2021","634.02907"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/04/2021","656.76871"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/04/2021","615.98255"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/04/2021","619.75481"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/04/2021","613.90127"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/04/2021","618.00181"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/04/2021","631.42221"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/04/2021","628.57747"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/04/2021","632.69327"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/04/2021","607.56632"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/04/2021","631.6412"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/04/2021","627.47248"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/04/2021","639.59317"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","19/04/2021","630.55247"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/04/2021","634.72482"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/04/2021","631.73998"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/04/2021","647.34229"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/04/2021","649.15948"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/04/2021","648.08721"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","26/04/2021","650.59928"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/04/2021","642.53435"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/04/2021","605.41818"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","29/04/2021","624.55984"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","30/04/2021","628.28462"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/05/2021","628.64395"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/05/2021","621.49605"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/05/2021","612.47036"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/05/2021","608.93913"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/05/2021","618.45479"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/05/2021","629.74208"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/05/2021","632.1318"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/05/2021","629.02901"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/05/2021","629.08225"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/05/2021","635.28353"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/05/2021","622.3903"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/05/2021","618.62798"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/05/2021","626.66896"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/05/2021","614.85659"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/05/2021","614.62446"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/05/2021","591.45218"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/05/2021","618.67491"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","19/05/2021","605.09547"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/05/2021","619.35508"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/05/2021","617.90071"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/05/2021","617.52751"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/05/2021","613.65959"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/05/2021","611.49605"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/05/2021","618.88265"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","26/05/2021","629.84195"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","27/05/2021","625.7108"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","28/05/2021","617.54006"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","29/05/2021","621.48784"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","30/05/2021","628.07668"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","31/05/2021","624.80781"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","01/06/2021","597.2664"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","02/06/2021","596.86126"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","03/06/2021","611.41463"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","04/06/2021","613.09875"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","05/06/2021","617.55233"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","06/06/2021","612.11184"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","07/06/2021","606.53517"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","08/06/2021","613.22115"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","09/06/2021","610.05738"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","10/06/2021","610.14805"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","11/06/2021","604.06622"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","12/06/2021","605.37974"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","13/06/2021","598.43963"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","14/06/2021","612.34531"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","15/06/2021","603.32326"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","16/06/2021","607.30675"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","17/06/2021","615.56743"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","18/06/2021","615.24034"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","19/06/2021","617.60632"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","20/06/2021","617.77742"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","21/06/2021","611.24675"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","22/06/2021","613.70166"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","23/06/2021","620.38823"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","24/06/2021","617.08155"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","25/06/2021","606.23789"
"GE-4100.12001B","ECU1.G2-TI-MANCD.F_CV","26/06/2021","604.01484"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","04/01/2021","662.68299"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","05/01/2021","662.62955"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","06/01/2021","655.55929"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","07/01/2021","660.54872"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","08/01/2021","663.0935"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","09/01/2021","664.47018"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","10/01/2021","665.64972"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","11/01/2021","664.13815"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","12/01/2021","651.64104"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","13/01/2021","657.57846"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","14/01/2021","660.48785"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","15/01/2021","652.18057"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","16/01/2021","657.83163"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","17/01/2021","661.30693"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","18/01/2021","659.61152"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","19/01/2021","659.21046"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","20/01/2021","653.67072"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","21/01/2021","655.72657"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","22/01/2021","657.73679"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","23/01/2021","640.35914"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","24/01/2021","653.78521"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","25/01/2021","652.12879"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","27/01/2021","645.57154"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","28/01/2021","629.98685"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","29/01/2021","655.41276"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","30/01/2021","655.64356"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","31/01/2021","655.39685"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","01/02/2021","652.44147"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","02/02/2021","651.92742"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","03/02/2021","662.58176"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","04/02/2021","660.90203"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","05/02/2021","661.19722"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","06/02/2021","661.81483"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","07/02/2021","664.29536"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","08/02/2021","662.37909"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","09/02/2021","659.97901"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","10/02/2021","663.3912"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","11/02/2021","664.21597"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","12/02/2021","661.8495"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","13/02/2021","663.70609"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","14/02/2021","660.89802"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","15/02/2021","658.87221"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","16/02/2021","659.31076"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","17/02/2021","667.48168"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","18/02/2021","664.04984"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","19/02/2021","665.32104"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","20/02/2021","662.87912"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","21/02/2021","663.62534"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","22/02/2021","662.57181"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","23/02/2021","661.68634"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","26/02/2021","667.24077"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","27/02/2021","655.90585"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","28/02/2021","658.70556"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","01/03/2021","661.96269"
"GE-4100.12001B","ECU1.G2-TI-MANCT.F_CV","02/03/2021","659.02055"
