"EQUIPAMENTO","MANCAL","DATA","TEMPERATURA"
"C-4451.08001A","EJA1.A-TC21.F_CV","04/01/2021","69.88962"
"C-4451.08001A","EJA1.A-TC21.F_CV","05/01/2021","69.59235"
"C-4451.08001A","EJA1.A-TC21.F_CV","06/01/2021","69.56962"
"C-4451.08001A","EJA1.A-TC21.F_CV","07/01/2021","67.57046"
"C-4451.08001A","EJA1.A-TC21.F_CV","15/01/2021","69.05307"
"C-4451.08001A","EJA1.A-TC21.F_CV","16/01/2021","72.16129"
"C-4451.08001A","EJA1.A-TC21.F_CV","17/01/2021","75.65772"
"C-4451.08001A","EJA1.A-TC21.F_CV","18/01/2021","74.68783"
"C-4451.08001A","EJA1.A-TC21.F_CV","19/01/2021","74.18875"
"C-4451.08001A","EJA1.A-TC21.F_CV","20/01/2021","72.03129"
"C-4451.08001A","EJA1.A-TC21.F_CV","21/01/2021","70.5655"
"C-4451.08001A","EJA1.A-TC21.F_CV","22/01/2021","69.44159"
"C-4451.08001A","EJA1.A-TC21.F_CV","23/01/2021","72.88263"
"C-4451.08001A","EJA1.A-TC21.F_CV","24/01/2021","74.95892"
"C-4451.08001A","EJA1.A-TC21.F_CV","25/01/2021","74.84634"
"C-4451.08001A","EJA1.A-TC21.F_CV","27/01/2021","75.04561"
"C-4451.08001A","EJA1.A-TC21.F_CV","28/01/2021","74.81426"
"C-4451.08001A","EJA1.A-TC21.F_CV","29/01/2021","74.82045"
"C-4451.08001A","EJA1.A-TC21.F_CV","30/01/2021","73.42778"
"C-4451.08001A","EJA1.A-TC21.F_CV","31/01/2021","72.65412"
"C-4451.08001A","EJA1.A-TC21.F_CV","01/02/2021","72.08107"
"C-4451.08001A","EJA1.A-TC21.F_CV","02/02/2021","71.62062"
"C-4451.08001A","EJA1.A-TC21.F_CV","03/02/2021","71.2187"
"C-4451.08001A","EJA1.A-TC21.F_CV","04/02/2021","71.64385"
"C-4451.08001A","EJA1.A-TC21.F_CV","10/02/2021","72.14782"
"C-4451.08001A","EJA1.A-TC21.F_CV","11/02/2021","72.75743"
"C-4451.08001A","EJA1.A-TC21.F_CV","13/02/2021","60.21085"
"C-4451.08001A","EJA1.A-TC21.F_CV","15/02/2021","66.25025"
"C-4451.08001A","EJA1.A-TC21.F_CV","16/02/2021","67.03699"
"C-4451.08001A","EJA1.A-TC21.F_CV","17/02/2021","67.94629"
"C-4451.08001A","EJA1.A-TC21.F_CV","18/02/2021","68.79815"
"C-4451.08001A","EJA1.A-TC21.F_CV","19/02/2021","68.72301"
"C-4451.08001A","EJA1.A-TC21.F_CV","20/02/2021","71.76952"
"C-4451.08001A","EJA1.A-TC21.F_CV","21/02/2021","67.20632"
"C-4451.08001A","EJA1.A-TC21.F_CV","08/03/2021","66.68311"
"C-4451.08001A","EJA1.A-TC21.F_CV","09/03/2021","67.07152"
"C-4451.08001A","EJA1.A-TC21.F_CV","10/03/2021","69.17014"
"C-4451.08001A","EJA1.A-TC21.F_CV","11/03/2021","73.83916"
"C-4451.08001A","EJA1.A-TC21.F_CV","12/03/2021","72.25362"
"C-4451.08001A","EJA1.A-TC21.F_CV","13/03/2021","71.2212"
"C-4451.08001A","EJA1.A-TC21.F_CV","14/03/2021","70.18006"
"C-4451.08001A","EJA1.A-TC21.F_CV","15/03/2021","69.81462"
"C-4451.08001A","EJA1.A-TC21.F_CV","16/03/2021","71.4754"
"C-4451.08001A","EJA1.A-TC21.F_CV","17/03/2021","69.41212"
"C-4451.08001A","EJA1.A-TC21.F_CV","20/03/2021","71.76244"
"C-4451.08001A","EJA1.A-TC21.F_CV","21/03/2021","72.09805"
"C-4451.08001A","EJA1.A-TC21.F_CV","22/03/2021","68.81796"
"C-4451.08001A","EJA1.A-TC21.F_CV","23/03/2021","70.57513"
"C-4451.08001A","EJA1.A-TC21.F_CV","24/03/2021","71.06432"
"C-4451.08001A","EJA1.A-TC21.F_CV","25/03/2021","70.64564"
"C-4451.08001A","EJA1.A-TC21.F_CV","27/03/2021","70.78124"
"C-4451.08001A","EJA1.A-TC21.F_CV","28/03/2021","70.71738"
"C-4451.08001A","EJA1.A-TC21.F_CV","29/03/2021","71.05025"
"C-4451.08001A","EJA1.A-TC21.F_CV","30/03/2021","71.02207"
