EQUIPAMENTO,MANCAL,WINDOW,OUTPUT,NUM. CAMADAS,NUM. NEURONIOS CAMADA 1,NUM. NEURONIOS CAMADA 2,NUM. NEURONIOS CAMADA 3,DROUPOUT,OTIMIZADOR,EPOCHS,BATCH_SIZE,RMSE,MSE,MAPE
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,120,60,40,0.350000,Adadelta,800,32,9.172757,84.139479,23.796825
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.200000,Adam,800,32,35.093014,1231.519644,117.584106
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.200000,Adadelta,800,32,9.132588,83.404167,24.043062
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.250000,Adam,800,32,36.492559,1331.706836,122.254830
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.250000,Adadelta,800,32,7.794387,60.752472,19.618291
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.300000,Adam,800,32,35.970971,1293.910729,120.515670
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.300000,Adadelta,800,32,9.708503,94.255022,25.623690
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.350000,Adam,800,32,36.506682,1332.737828,122.303479
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,2,80,80,60,0.350000,Adadelta,800,32,6.783084,46.010226,17.302447
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.200000,Adam,800,32,35.493346,1259.777602,118.918182
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.200000,Adadelta,800,32,10.467447,109.567445,28.135022
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.250000,Adam,800,32,34.249150,1173.004286,114.767505
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.250000,Adadelta,800,32,10.367794,107.491144,27.863829
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.300000,Adam,800,32,36.290700,1317.014934,121.581917
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.300000,Adadelta,800,32,10.537344,111.035612,28.419440
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.350000,Adam,800,32,35.840503,1284.541684,120.078868
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,150,80,80,0.350000,Adadelta,800,32,10.819892,117.070072,29.234022
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.200000,Adam,800,32,34.621606,1198.655616,116.006136
C-4451.08001A,EJA1.A-TC26.F_CV,3,2,3,120,60,40,0.200000,Adadelta,800,32,10.963364,120.195347,29.851455
